銘柄コード,売り上げ高(2019),売り上げ高(2020),売り上げ高(2021),営業益(2019),営業益(2020),営業益(2021),営業利益率(2019),営業利益率(2020),営業利益率(2021),ROE(2019),ROE(2020),ROE(2021)
9272,"1,435","1,358","1,139",123,187,81,8.57,13.77,7.11,17.73,17.69,9.05
7322,-,-,-,-,-,-,-,-,-,-,-,-
7321,-,-,-,-,-,-,-,-,-,-,-,-
7320,"1,647","1,955","2,400",180,204,310,10.93,10.43,12.92,35.88,33.67,37.59
3490,"5,296","5,509",－,293,85,－,5.53,1.54,－,17.31,0.87,－
9271,"2,729","3,033",－,104,-116,－,3.81,-3.82,－,4.53,-17.77,－
6573,910,847,667,90,-138,-282,9.89,-16.29,-42.28,15.11,-31.42,-57.45
6572,"8,185","10,070","11,750",954,471,560,11.66,4.68,4.77,15.30,0.18,0.96
6571,"20,864","19,089","20,774","1,969",239,"1,000",9.44,1.25,4.81,13.76,1.06,5.53
9450,"5,446","7,424","9,050",936,"1,234","1,430",17.19,16.62,15.80,32.73,30.78,32.28
9270,"37,799","37,932","58,000","2,240",631,"2,500",5.93,1.66,4.31,23.34,4.54,22.27
3447,"17,512","17,081","13,900","1,963","2,210","1,550",11.21,12.94,11.15,10.72,11.03,7.34
6570,"11,543","13,591","10,222",359,249,-298,3.11,1.83,-2.92,23.10,1.16,-15.12
3489,"14,164","17,105","18,000","1,012","1,035","1,050",7.14,6.05,5.83,17.82,13.61,13.17
6569,"69,161","74,966","67,000","2,869","3,061","1,800",4.15,4.08,2.69,20.67,18.12,11.15
6568,"6,290","6,347","6,800","1,240",574,950,19.71,9.04,13.97,10.29,5.37,7.50
6567,"6,260","6,948","8,000",63,136,280,1.01,1.96,3.50,2.47,6.01,10.06
3446,"1,285","1,027","1,443",436,5,215,33.93,0.49,14.90,14.59,0.65,6.99
4380,655,684,766,146,147,156,22.29,21.49,20.37,17.46,11.79,11.36
3488,"1,343","1,364","1,270",724,771,668,53.91,56.52,52.60,－,－,－
3487,"1,580","2,030","2,589",828,"1,151","1,513",52.41,56.70,58.44,－,－,－
1443,"9,455","10,008","9,600",742,"1,182","1,080",7.85,11.81,11.25,5.74,8.36,9.36
9268,"25,644","26,520","21,500","1,316","1,319",350,5.13,4.97,1.63,15.57,7.09,2.06
6565,"5,514","6,295","4,820","1,409","1,333",243,25.55,21.18,5.04,18.30,15.74,2.28
6566,"11,297","11,490","10,947","1,023",806,645,9.06,7.01,5.89,4.60,3.77,2.91
6564,"4,676","5,213","5,430","1,098","1,495","1,579",23.48,28.68,29.08,25.64,23.97,17.00
7199,"10,759","14,016","17,140",－,－,－,－,－,－,24.84,27.39,29.97
9267,"103,897","123,603","145,000","4,046","4,341","5,800",3.89,3.51,4.00,10.98,10.40,14.25
4249,"189,554","170,773","149,000","8,686","5,497","3,800",4.58,3.22,2.55,9.28,5.36,0.31
